timestamp,open,high,low,close,volume,trade_count,vwap,daily_return,ma_7,ma_21,volatility_7,daily_range,target
2020-08-24 04:00:00+00:00,49.35,49.385,48.82,49.135,308299.0,3046.0,49.061107,-0.003043522369889362,48.912142857142854,48.71404761904762,0.007864681280392161,0.5649999999999977,49.445
2020-08-25 04:00:00+00:00,49.305,49.86,49.22,49.445,459442.0,3638.0,49.439455,0.006309148264984188,48.989285714285714,48.70928571428571,0.007779012941768927,0.6400000000000006,49.515
2020-08-26 04:00:00+00:00,49.355,49.665,49.24,49.515,237884.0,2183.0,49.484368,0.0014157144301749636,49.074999999999996,48.72238095238096,0.0077563456770424685,0.42499999999999716,49.43
2020-08-27 04:00:00+00:00,49.78,49.92,49.195,49.43,281181.0,2319.0,49.583347,-0.001716651519741541,49.18857142857143,48.78642857142857,0.007241938762822887,0.7250000000000014,50.405
2020-08-28 04:00:00+00:00,49.505,50.8,49.495,50.405,460013.0,3417.0,50.323914,0.019724863443253193,49.480000000000004,48.901428571428575,0.008787237783805728,1.3049999999999997,51.035
2020-08-31 04:00:00+00:00,51.03,51.5,50.335,51.035,544763.0,4101.0,51.048135,0.012498760043646362,49.75,49.05928571428571,0.008172474403960014,1.1649999999999991,50.82
2020-09-01 04:00:00+00:00,50.96,50.99,50.22,50.82,761259.0,5098.0,50.595114,-0.004212795140589698,49.96928571428571,49.18190476190476,0.008944154996251704,0.7700000000000031,52.265
2020-09-02 04:00:00+00:00,51.28,52.675,51.17,52.265,553513.0,4658.0,52.138136,0.028433687524596518,50.41642857142857,49.33214285714286,0.011965757307125097,1.5049999999999955,50.41
2020-09-03 04:00:00+00:00,52.52,52.61,50.15,50.41,730019.0,5293.0,51.313729,-0.035492203195255034,50.55428571428571,49.403333333333336,0.020717277334146723,2.460000000000001,50.095
2020-09-04 04:00:00+00:00,50.555,51.22,49.5,50.095,844023.0,5748.0,50.190583,-0.00624876016663356,50.63714285714286,49.47547619047619,0.021012328227153345,1.7199999999999989,48.905
2020-09-08 04:00:00+00:00,49.32,49.9,48.86,48.905,851858.0,5761.0,49.476825,-0.023754865755065357,50.56214285714286,49.51880952380952,0.02317629843494163,1.0399999999999991,49.625
