,Modelo,MAE,MSE,RMSE,R²
1,Lasso,0.651833,0.968715,0.984233,0.984525
2,OLS,0.656611,0.982791,0.991358,0.9843
3,Bayesian Ridge,0.659501,0.987522,0.993742,0.984225
4,Ridge,0.673169,1.00925,1.004614,0.983878
5,Random Forest Regression,2.098950645741392,8.501553182208959,2.915742303806864,0.8641914629742593
6,MLP Neural Network Regression,1.6349542153849457,8.992587041520519,2.998764252408068,0.8563474151121864
7,KNN Regression,3.252560811713529,20.090423586787512,4.482234218198276,0.6790644042245335
8,SVM Regression,3.2028935402723144,33.4580155963948,5.784290414250896,0.46552305766436963
